date_time,pv_energy,income_value,full_power_hours,filled
2023-01-02,449.90,292.44,3.60,False
2023-01-03,443.90,288.54,3.55,False
2023-01-04,508.20,330.33,4.07,False
2023-01-05,471.00,306.15,3.77,False
2023-01-06,276.60,179.79,2.21,False
2023-01-07,576.30,374.60,4.61,False
2023-01-08,460.30,299.19,3.68,False
2023-01-09,250.80,163.02,2.01,False
2023-01-10,623.10,405.01,4.99,False
2023-01-11,327.80,213.07,2.62,False
2023-01-12,425.90,276.83,3.41,False
2023-01-13,372.90,242.38,2.98,False
2023-01-14,367.70,239.00,2.94,False
2023-01-15,380.00,247.00,3.04,False
2023-01-16,511.30,332.35,4.09,False
2023-01-17,648.60,421.59,5.19,False
2023-01-18,586.90,381.49,4.70,False
2023-01-19,356.90,231.99,2.85,False
2023-01-20,398.00,258.70,3.18,False
2023-01-21,317.90,206.63,2.54,False
2023-01-22,520.40,338.26,4.16,False
2023-01-23,477.20,310.18,3.82,False
2023-01-24,509.60,331.24,4.08,False
2023-01-25,512.50,333.12,4.10,False
2023-01-26,299.90,194.94,2.40,False
2023-01-27,375.00,243.75,3.00,False
2023-01-28,464.60,301.99,3.72,False
2023-01-29,342.70,222.75,2.74,False
2023-01-30,471.30,306.35,3.77,False
2023-01-31,489.70,318.31,3.92,False
2023-02-01,590.30,383.69,4.72,False
2023-02-02,564.30,366.80,4.51,False
2023-02-03,454.50,295.43,3.64,False
2023-02-04,410.30,266.69,3.28,False
2023-02-05,488.50,317.52,3.91,False
2023-02-06,264.40,171.86,2.12,False
2023-02-07,703.20,457.08,5.63,False
2023-02-08,681.10,442.71,5.45,False
2023-02-09,453.70,294.90,3.63,False
2023-02-10,718.50,467.02,5.75,False
2023-02-11,623.60,405.34,4.99,False
2023-02-12,653.90,425.04,5.23,False
2023-02-13,718.80,467.22,5.75,False
2023-02-14,698.90,454.29,5.59,False
2023-02-15,563.00,365.95,4.50,False
2023-02-16,557.50,362.38,4.46,False
2023-02-17,384.90,250.19,3.08,False
2023-02-18,329.50,214.18,2.64,False
2023-02-19,583.90,379.54,4.67,False
2023-02-20,581.30,377.85,4.65,False
2023-02-21,529.00,343.85,4.23,False
2023-02-22,505.30,328.44,4.04,False
2023-02-23,332.10,215.87,2.66,False
2023-02-24,467.40,303.81,3.74,False
2023-02-25,717.20,466.18,5.74,False
2023-02-26,703.70,457.40,5.63,False
2023-02-27,757.00,492.05,6.06,False
2023-02-28,676.50,439.73,5.41,False
2023-03-01,322.60,209.69,2.58,False
2023-03-02,555.50,361.07,4.44,False
2023-03-03,583.20,379.08,4.67,False
2023-03-04,730.90,475.08,5.85,False
2023-03-05,693.60,450.84,5.55,False
2023-03-06,470.70,305.95,3.77,False
2023-03-07,304.50,197.93,2.44,False
2023-03-08,586.10,380.96,4.69,False
2023-03-09,403.80,262.47,3.23,False
2023-03-10,281.80,183.17,2.25,False
2023-03-11,413.70,268.90,3.31,False
2023-03-12,588.60,382.59,4.71,False
2023-03-13,390.00,253.50,3.12,False
2023-03-14,287.00,186.55,2.30,False
2023-03-15,434.00,282.10,3.47,False
2023-03-16,392.40,255.06,3.14,False
2023-03-17,217.60,141.44,1.74,False
2023-03-18,485.60,315.64,3.88,False
2023-03-19,475.30,308.94,3.80,False
2023-03-20,302.90,196.88,2.42,False
2023-03-21,346.80,225.42,2.77,False
2023-03-22,504.40,327.86,4.04,False
2023-03-23,480.30,312.19,3.84,False
2023-03-24,708.70,460.65,5.67,False
2023-03-25,703.70,457.40,5.63,False
2023-03-26,684.80,445.12,5.48,False
2023-03-27,669.70,435.31,5.36,False
2023-03-28,463.40,301.21,3.71,False
2023-03-29,684.20,444.73,5.47,False
2023-03-30,691.30,449.35,5.53,False
2023-03-31,583.40,379.21,4.67,False
2023-04-01,616.10,400.46,4.93,False
2023-04-02,339.60,220.74,2.72,False
2023-04-03,425.30,276.44,3.40,False
2023-04-04,609.40,396.11,4.88,False
2023-04-05,492.20,319.93,3.94,False
2023-04-06,593.50,385.77,4.75,False
2023-04-07,322.70,209.75,2.58,False
2023-04-08,396.60,257.79,3.17,False
2023-04-09,496.70,322.86,3.97,False
2023-04-10,460.90,299.58,3.69,False
2023-04-11,530.60,344.89,4.25,False
2023-04-12,533.00,346.45,4.26,False
2023-04-13,603.00,391.95,4.82,False
2023-04-14,397.80,258.57,3.18,False
2023-04-15,490.90,319.08,3.93,False
2023-04-16,544.50,353.93,4.36,False
2023-04-17,435.80,283.27,3.49,False
2023-04-18,539.60,350.74,4.32,False
2023-04-19,492.70,320.25,3.94,False
2023-04-20,321.70,209.10,2.57,False
2023-04-21,578.90,376.29,4.63,False
2023-04-22,274.50,178.43,2.20,False
2023-04-23,495.30,321.94,3.96,False
2023-04-24,461.30,299.85,3.69,False
2023-04-25,636.10,413.46,5.09,False
2023-04-26,596.70,387.86,4.77,False
2023-04-27,529.30,344.05,4.23,False
2023-04-28,494.00,321.10,3.95,False
2023-04-29,401.50,260.98,3.21,False
2023-04-30,502.00,326.30,4.02,False
2023-05-01,671.00,436.15,5.37,False
2023-05-02,579.40,376.61,4.63,False
