date_time,pv_energy,income_value,full_power_hours,filled
2022-09-20,504.10,327.67,3.45,False
2022-09-21,575.20,373.88,3.94,False
2022-09-22,202.70,131.75,1.39,False
2022-09-23,574.30,373.30,3.93,False
2022-09-24,545.10,354.31,3.73,False
2022-09-25,582.70,378.75,3.99,False
2022-09-26,716.80,465.92,4.91,False
2022-09-27,548.60,356.59,3.76,False
2022-09-28,656.70,426.86,4.50,False
2022-09-29,664.80,432.12,4.55,False
2022-09-30,791.60,514.54,5.42,False
2022-10-01,766.00,497.90,5.25,False
2022-10-02,268.80,174.72,1.84,False
2022-10-03,531.30,345.35,3.64,False
2022-10-04,478.30,310.89,3.28,False
2022-10-05,544.00,353.60,3.73,False
2022-10-06,699.10,454.42,4.79,False
2022-10-07,269.70,175.31,1.85,False
2022-10-08,586.50,381.23,4.02,False
2022-10-09,625.10,406.31,4.28,False
2022-10-10,878.30,570.89,6.02,False
2022-10-11,854.00,555.10,5.85,False
2022-10-12,869.90,565.43,5.96,False
2022-10-13,880.00,572.00,6.03,False
2022-10-14,854.20,555.23,5.85,False
2022-10-15,920.70,598.46,6.31,False
2022-10-16,907.30,589.75,6.21,False
2022-10-17,923.90,600.53,6.33,False
2022-10-18,836.40,543.66,5.73,False
2022-10-19,718.20,466.83,4.92,False
2022-10-20,610.60,396.89,4.18,False
2022-10-21,444.60,288.99,3.04,False
2022-10-22,551.40,358.41,3.78,False
2022-10-23,464.60,301.99,3.18,False
2022-10-24,503.60,327.34,3.45,False
2022-10-25,809.20,525.98,5.54,False
2022-10-26,695.00,451.75,4.76,False
2022-10-27,718.20,466.83,4.92,False
2022-10-28,672.00,436.80,4.60,False
2022-10-29,618.10,401.76,4.23,False
2022-10-30,684.20,444.73,4.69,False
2022-10-31,533.00,346.45,3.65,False
2022-11-01,650.80,423.02,4.46,False
2022-11-02,180.90,117.58,1.24,False
2022-11-03,398.40,258.96,2.73,False
2022-11-04,606.50,394.23,4.15,False
2022-11-05,774.40,503.36,5.30,False
2022-11-06,661.40,429.91,4.53,False
2022-11-07,835.80,543.27,5.72,False
2022-11-08,619.50,402.68,4.24,False
2022-11-09,927.70,603.00,6.35,False
2022-11-10,492.10,319.87,3.37,False
2022-11-11,370.90,241.09,2.54,False
2022-11-12,339.90,220.94,2.33,False
2022-11-13,733.00,476.45,5.02,False
2022-11-14,671.70,436.61,4.60,False
2022-11-15,664.90,432.19,4.55,False
2022-11-16,557.60,362.44,3.82,False
2022-11-17,819.50,532.67,5.61,False
2022-11-18,806.00,523.90,5.52,False
2022-11-19,804.67,,,True
2022-11-20,803.33,,,True
2022-11-21,802.00,521.30,5.49,False
2022-11-22,689.60,448.24,4.72,False
2022-11-23,625.40,406.51,4.28,False
2022-11-24,748.70,486.65,5.13,False
2022-11-25,683.60,444.34,4.68,False
2022-11-26,596.90,387.99,4.09,False
2022-11-27,668.00,434.20,4.58,False
2022-11-28,697.40,453.31,4.78,False
2022-11-29,644.40,418.86,4.41,False
2022-11-30,552.50,359.12,3.78,False
2022-12-01,840.80,546.52,5.76,False
2022-12-02,657.90,427.63,4.51,False
2022-12-03,75.50,49.08,0.52,False
2022-12-04,534.30,347.30,3.66,False
2022-12-05,463.30,301.14,3.17,False
2022-12-06,463.40,301.21,3.17,False
2022-12-07,601.20,390.78,4.12,False
2022-12-08,692.90,450.38,4.75,False
2022-12-09,636.40,413.66,4.36,False
2022-12-10,792.10,514.87,5.42,False
2022-12-11,759.40,493.61,5.20,False
2022-12-12,805.90,523.84,5.52,False
2022-12-13,249.80,162.37,1.71,False
2022-12-14,79.90,51.94,0.55,False
2022-12-15,54.10,35.16,0.37,False
2022-12-16,41.90,27.23,0.29,False
2022-12-17,36.90,23.98,0.25,False
2022-12-18,67.10,43.62,0.46,False
2022-12-19,15.40,10.01,0.10,False
2022-12-20,54.00,35.10,0.37,False
2022-12-21,40.30,26.20,0.28,False
2022-12-22,90.30,58.70,0.62,False
2022-12-23,77.50,50.38,0.53,False
2022-12-24,29.50,19.18,0.20,False
2022-12-25,61.20,39.78,0.42,False
2022-12-26,30.00,19.50,0.20,False
2022-12-27,74.40,48.36,0.51,False
2022-12-28,69.50,45.17,0.48,False
2022-12-29,75.70,49.20,0.52,False
2022-12-30,24.80,16.12,0.17,False
2022-12-31,60.00,39.00,0.41,False
2023-01-01,83.60,54.34,0.57,False
2023-01-02,79.00,51.35,0.54,False
2023-01-03,74.50,48.42,0.51,False
2023-01-04,86.70,56.35,0.59,False
2023-01-05,80.90,52.59,0.55,False
2023-01-06,46.80,30.42,0.32,False
2023-01-07,98.50,64.03,0.68,False
2023-01-08,77.60,50.44,0.53,False
2023-01-09,42.90,27.89,0.29,False
2023-01-10,108.70,70.66,0.74,False
2023-01-11,54.90,35.69,0.38,False
2023-01-12,73.60,47.84,0.50,False
2023-01-13,64.70,42.05,0.44,False
2023-01-14,62.70,40.76,0.43,False
2023-01-15,64.20,41.73,0.44,False
2023-01-16,89.00,57.85,0.61,False
2023-01-17,113.70,73.91,0.78,False
2023-01-18,101.80,66.17,0.70,False
2023-01-19,62.30,40.49,0.43,False
2023-01-20,68.10,44.27,0.47,False
2023-01-21,53.70,34.91,0.37,False
2023-01-22,87.90,57.13,0.60,False
2023-01-23,80.00,52.00,0.55,False
2023-01-24,85.90,55.84,0.59,False
