date_time,pv_energy,pv_energy_est,gti,ghi,clearsky_gti,clearsky_ghi,gti_net,csi_mean,csi_std,csi_min,csi_max,csi_median,gti_varh_mean,gti_varh_std,gti_varh_min,gti_varh_max,gti_varh_median,temp_loss_pct_mean,temp_loss_pct_std,temp_loss_pct_min,temp_loss_pct_max,temp_loss_pct_median,gti_def_pct_mean,gti_def_pct_std,gti_def_pct_min,gti_def_pct_max,gti_def_pct_median,cloud_impact_mean,cloud_impact_std,cloud_impact_min,cloud_impact_max,cloud_impact_median,air_temp_mean,air_temp_std,air_temp_min,air_temp_max,air_temp_median,cell_temp_mean,cell_temp_std,cell_temp_min,cell_temp_max,cell_temp_median,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_median,cloud_opacity_mean,cloud_opacity_std,cloud_opacity_min,cloud_opacity_max,cloud_opacity_median,solar_hours,cloud_events,pr_solar,day_category
2023-01-02,452.1883,496.1308,5.6285,6.1201,7.5048,8.4528,5.1615,0.7638,0.267,0.2584,1.5,0.8325,52.9236,23.5299,13.0407,116.4661,52.1765,5.7522,3.9894,0.0,11.975,5.3062,25.0493,24.1685,0.0,74.1573,16.7454,13.8131,16.7592,0.0,60.5124,3.926,25.06,2.4198,19.0,28.0,26.0,39.1312,10.3687,19.4688,54.9375,38.2656,2.906,0.8645,0.8,4.3,2.9,29.7027,27.6019,0.0,81.6,22.55,12.5,1,0.75,1
2023-01-03,452.1975,452.1252,5.0932,5.334,7.4293,8.3508,4.7331,0.6274,0.2016,0.1968,1.1667,0.6857,47.3344,30.1855,9.3127,128.8606,43.159,4.459,3.8189,0.0,10.7875,4.8125,37.3748,19.9062,0.0,80.3175,31.4286,20.8037,19.1435,0.0,67.3863,13.312,22.6107,1.7733,19.0,25.0,22.0,35.4293,10.4528,19.5625,51.9688,37.0312,1.3638,0.5283,0.4,2.2,1.3,45.0215,22.5334,13.0,83.9,41.0,12.4167,0,0.6856,3
2023-01-04,506.5717,496.5656,5.5237,5.8412,7.4429,8.3608,5.1545,0.7669,0.187,0.2821,1.3478,0.7583,57.494,29.9408,8.4652,126.1156,52.0778,4.6766,3.4656,0.0,10.425,5.4688,24.1407,16.986,0.0,71.7868,24.1733,10.2262,12.2378,0.0,55.4194,6.7398,22.4867,1.4458,19.0,25.0,22.0,36.2958,9.2506,19.7188,51.0625,38.6719,2.7153,0.6353,1.7,4.3,2.6,34.2013,17.6838,3.0,77.2,33.25,12.5,0,0.7421,3
2023-01-05,465.6083,507.0075,5.6411,6.0182,7.4589,8.3862,5.2519,0.823,0.179,0.5453,1.5,0.7961,44.1932,17.6487,15.3334,101.8467,39.9283,5.0903,3.3625,0.0,10.4375,5.1,19.6348,13.4765,0.0,45.4651,20.3874,6.7092,6.112,0.0,22.2779,5.708,23.4305,1.6872,19.0,25.0,24.0,37.4398,8.8875,19.375,51.0938,37.75,2.9371,0.5501,1.5,3.6,3.1,28.0861,14.2343,0.8,64.3,28.0,12.5833,0,0.7563,3
2023-01-06,273.0058,252.5161,2.9893,3.0668,7.4239,8.3291,2.8847,0.4465,0.2995,0.0897,1.5,0.3161,32.7424,21.1133,4.0639,78.0021,30.4163,2.0342,2.0662,0.0,6.6125,1.675,56.8358,25.6497,0.0,91.0314,68.3948,40.9448,26.5354,0.0,84.9323,47.8764,21.5241,0.7177,20.0,23.0,22.0,29.255,6.1148,20.3438,41.5312,29.1875,4.3959,0.5277,2.8,5.4,4.5,63.7241,20.1381,22.0,93.3,70.0,12.0833,0,0.4027,2
2023-01-07,560.6967,541.9989,6.0541,6.4605,7.481,8.4167,5.5688,0.7798,0.163,0.3721,1.5,0.802,48.0883,27.0857,9.5044,131.8176,42.2832,5.5894,4.0471,0.0,11.7125,6.1188,22.8774,14.0142,0.0,62.7907,19.802,9.5351,11.4775,0.0,53.3093,4.7185,23.3067,2.0397,19.0,26.0,24.0,38.4419,10.9148,19.4688,54.2812,40.2969,2.51,0.5587,1.4,3.4,2.65,32.0267,21.146,1.6,84.9,25.5,12.5,0,0.8093,3
2023-01-08,460.6942,447.4044,5.0513,5.2806,7.4709,8.3668,4.6968,0.6469,0.2539,0.1158,1.5,0.633,69.0196,49.0662,4.0639,219.6817,53.2412,4.4461,3.79,0.0,11.5375,3.5,36.6587,22.101,0.0,88.4211,36.6985,20.6834,18.7787,0.0,82.2316,15.7437,22.3403,1.5472,19.0,24.0,23.0,35.4948,10.29,19.5938,53.8438,33.75,2.5854,0.7114,1.1,3.3,2.95,43.9514,23.2889,0.0,93.0,46.05,12.0,3,0.6761,1
2023-01-09,252.4433,233.2029,2.8344,2.9312,7.4857,8.3874,2.7468,0.5062,0.329,0.0627,1.5,0.5238,46.2712,28.4272,4.7697,115.4961,43.5291,1.9193,1.8605,0.0,5.95,1.4813,50.8733,29.6391,0.0,93.7251,47.6155,36.5898,30.1526,0.0,88.1016,25.542,21.9797,1.3221,19.0,24.0,22.0,29.1615,5.4628,19.5625,39.875,28.7031,2.6115,0.6923,1.8,4.0,2.3,59.2628,23.4721,21.2,94.0,56.0,12.3333,0,0.3786,2
2023-01-10,612.5208,627.9969,7.0174,7.8051,7.5398,8.4398,6.3887,0.9612,0.0994,0.5,1.5,1.0,50.9992,17.5605,15.1685,73.3094,53.4541,6.785,4.1959,0.0,13.175,7.8938,4.9614,7.5598,0.0,50.0,0.0,1.0605,3.9859,0.0,41.9,0.0,24.0,2.4713,17.0,27.0,25.0,41.5435,11.2449,17.5,57.9375,44.7344,1.6887,0.6532,0.5,2.5,1.9,7.4993,12.5097,0.0,83.8,2.5,12.5,1,0.9307,0
2023-01-11,332.9917,354.2264,4.0708,4.3465,7.4958,8.3591,3.8288,0.6056,0.3451,0.0945,1.5,0.6482,57.2449,34.5001,7.3294,142.4145,57.1451,3.6827,3.1294,0.0,10.1125,3.5188,40.6065,32.2974,0.0,90.5528,35.1765,28.4536,28.9164,0.0,82.403,17.3947,23.3378,1.9676,18.0,26.0,23.0,33.6524,8.5454,18.4375,50.2812,33.7969,1.1926,0.6627,0.2,2.2,1.4,47.248,30.7662,0.0,91.0,53.5,12.3333,1,0.5431,2
