date_time,air_temp,dni,ghi,dhi,gti,cloud_opacity
2023-06-10 04:00:00,15.0,0.0,0.0,0.0,0.0,0.0
2023-06-10 05:00:00,15.0,0.0,0.0,0.0,0.0,0.0
2023-06-10 06:00:00,15.25,0.0,0.5,0.5,0.5,6.525
2023-06-10 07:00:00,17.25,392.5,98.75,30.75,173.25,7.725
2023-06-10 08:00:00,19.5,745.5,311.0,50.0,452.25,0.0
2023-06-10 09:00:00,21.75,850.5,509.25,60.0,673.75,0.0
2023-06-10 10:00:00,23.0,901.75,665.25,65.5,842.75,0.0
2023-06-10 11:00:00,24.75,910.0,758.75,76.75,940.75,0.6
2023-06-10 12:00:00,26.75,556.75,680.0,248.25,805.0,14.274999999999999
2023-06-10 13:00:00,27.0,477.25,622.75,269.25,731.0,17.325
2023-06-10 14:00:00,27.25,554.25,562.0,202.25,683.75,13.175
2023-06-10 15:00:00,27.75,225.75,352.75,234.75,400.5,27.725
2023-06-10 16:00:00,27.0,15.75,164.25,160.25,162.5,41.5
2023-06-10 17:00:00,25.25,33.75,30.5,27.5,35.75,43.599999999999994
2023-06-10 18:00:00,23.0,0.0,0.0,0.0,0.0,29.725
2023-06-10 19:00:00,21.25,0.0,0.0,0.0,0.0,25.2
2023-06-10 20:00:00,20.5,0.0,0.0,0.0,0.0,28.3
2023-06-10 21:00:00,20.0,0.0,0.0,0.0,0.0,33.125
2023-06-10 22:00:00,19.75,0.0,0.0,0.0,0.0,26.775
2023-06-10 23:00:00,18.75,0.0,0.0,0.0,0.0,29.6
2023-06-11 00:00:00,18.0,0.0,0.0,0.0,0.0,17.55
2023-06-11 01:00:00,17.0,0.0,0.0,0.0,0.0,3.675
2023-06-11 02:00:00,16.75,0.0,0.0,0.0,0.0,0.0
2023-06-11 03:00:00,16.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 04:00:00,15.5,0.0,0.0,0.0,0.0,0.0
2023-06-11 05:00:00,15.0,0.0,0.0,0.0,0.0,0.0
2023-06-11 06:00:00,15.5,1.5,0.5,0.25,0.75,0.0
2023-06-11 07:00:00,17.75,442.0,100.0,28.75,183.75,0.0
2023-06-11 08:00:00,20.5,744.75,309.5,49.5,451.25,0.0
2023-06-11 09:00:00,22.5,856.75,508.5,56.5,673.5,0.0
2023-06-11 10:00:00,24.0,909.25,664.25,60.5,843.0,0.0
2023-06-11 11:00:00,25.75,787.75,720.0,132.5,885.0,5.35
2023-06-11 12:00:00,27.5,631.25,699.75,211.25,839.5,11.575
2023-06-11 13:00:00,28.0,388.0,589.5,300.5,676.75,21.7
2023-06-11 14:00:00,28.0,412.75,517.0,249.0,608.0,19.9
2023-06-11 15:00:00,28.0,523.5,422.5,150.75,531.75,12.975
2023-06-11 16:00:00,27.75,605.75,270.0,69.75,389.5,3.725
2023-06-11 17:00:00,26.25,143.25,62.0,42.5,90.75,14.65
2023-06-11 18:00:00,23.75,0.0,0.0,0.0,0.0,17.75
2023-06-11 19:00:00,22.25,0.0,0.0,0.0,0.0,17.125
2023-06-11 20:00:00,21.75,0.0,0.0,0.0,0.0,25.799999999999997
2023-06-11 21:00:00,20.75,0.0,0.0,0.0,0.0,27.025
2023-06-11 22:00:00,20.0,0.0,0.0,0.0,0.0,18.775
2023-06-11 23:00:00,19.25,0.0,0.0,0.0,0.0,15.675
2023-06-12 00:00:00,18.25,0.0,0.0,0.0,0.0,27.775
2023-06-12 01:00:00,18.0,0.0,0.0,0.0,0.0,45.9
2023-06-12 02:00:00,17.5,0.0,0.0,0.0,0.0,23.950000000000003
2023-06-12 03:00:00,17.0,0.0,0.0,0.0,0.0,31.35
2023-06-12 04:00:00,17.0,0.0,0.0,0.0,0.0,46.325
2023-06-12 05:00:00,16.5,0.0,0.0,0.0,0.0,48.449999999999996
2023-06-12 06:00:00,17.0,0.0,0.25,0.25,0.25,39.075
2023-06-12 07:00:00,19.0,107.25,73.25,54.5,94.75,24.9
2023-06-12 08:00:00,20.5,464.5,270.0,93.75,360.75,13.35
2023-06-12 09:00:00,22.5,460.75,420.75,173.5,516.25,15.975
2023-06-12 10:00:00,24.25,548.0,566.5,206.0,686.75,12.95
2023-06-12 11:00:00,26.0,814.75,726.0,115.5,894.5,3.2
2023-06-12 12:00:00,27.75,695.0,717.0,179.25,867.25,8.05
2023-06-12 13:00:00,28.0,320.75,561.75,321.5,632.5,24.375
2023-06-12 14:00:00,28.0,199.75,436.75,313.25,476.0,30.7
2023-06-12 15:00:00,28.0,281.5,363.25,210.0,421.25,24.925
2023-06-12 16:00:00,27.75,0.0,127.0,127.0,123.0,53.5
2023-06-12 17:00:00,26.5,1.25,28.0,28.0,27.5,49.075
2023-06-12 18:00:00,24.0,0.0,0.0,0.0,0.0,30.125
2023-06-12 19:00:00,22.0,0.0,0.0,0.0,0.0,44.95
2023-06-12 20:00:00,21.0,0.0,0.0,0.0,0.0,50.375
2023-06-12 21:00:00,20.25,0.0,0.0,0.0,0.0,34.575
2023-06-12 22:00:00,20.0,0.0,0.0,0.0,0.0,18.275
2023-06-12 23:00:00,19.75,0.0,0.0,0.0,0.0,26.325
2023-06-13 00:00:00,19.0,0.0,0.0,0.0,0.0,32.85
2023-06-13 01:00:00,18.0,0.0,0.0,0.0,0.0,16.549999999999997
2023-06-13 02:00:00,18.0,0.0,0.0,0.0,0.0,16.625
2023-06-13 03:00:00,17.5,0.0,0.0,0.0,0.0,27.25
2023-06-13 04:00:00,17.0,0.0,0.0,0.0,0.0,38.425
2023-06-13 05:00:00,17.0,0.0,0.0,0.0,0.0,45.1
2023-06-13 06:00:00,17.25,0.0,0.25,0.25,0.25,27.075000000000003
2023-06-13 07:00:00,19.0,40.75,63.25,55.5,70.5,29.15
2023-06-13 08:00:00,21.25,323.0,245.5,124.0,312.25,18.85
2023-06-13 09:00:00,23.5,767.75,483.75,78.5,636.5,1.675
2023-06-13 10:00:00,24.75,862.0,644.25,74.25,816.5,0.0
2023-06-13 11:00:00,26.25,856.25,731.25,93.0,906.0,1.225
2023-06-13 12:00:00,27.75,654.0,700.0,194.25,844.0,9.275
