date_time,pv_energy,income_value,full_power_hours,filled,gti,ghi,clearsky_gti,clearsky_ghi,gti_net,csi_mean,csi_std,csi_min,csi_max,csi_median,gti_varh_mean,gti_varh_std,gti_varh_min,gti_varh_max,gti_varh_median,temp_loss_pct_mean,temp_loss_pct_std,temp_loss_pct_min,temp_loss_pct_max,temp_loss_pct_median,gti_def_pct_mean,gti_def_pct_std,gti_def_pct_min,gti_def_pct_max,gti_def_pct_median,cloud_impact_mean,cloud_impact_std,cloud_impact_min,cloud_impact_max,cloud_impact_median,air_temp_mean,air_temp_std,air_temp_min,air_temp_max,air_temp_median,cell_temp_mean,cell_temp_std,cell_temp_min,cell_temp_max,cell_temp_median,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_median,cloud_opacity_mean,cloud_opacity_std,cloud_opacity_min,cloud_opacity_max,cloud_opacity_median,solar_hours,cloud_events,pr_solar,day_category
2022-03-01,916.7,595.86,6.28,False,7.456,7.5644,8.0254,8.1458,6.6495,0.9389,0.1282,0.3818,1.3125,0.9959,76.8971,32.9094,25.5537,205.9215,73.8173,8.3085,4.6353,0.0,14.8,9.35,6.5204,12.287,0.0,61.8182,0.4115,1.9569,5.9894,0.0,38.5127,0.0016,26.3655,2.377,20.0,29.0,27.0,45.6483,11.8251,20.5312,62.0,48.375,2.5917,0.4704,1.9,3.6,2.4,7.4097,12.5245,0.0,62.3,1.5,12.0833,8.0,0.929,0.0
2022-03-02,776.7,504.86,5.32,False,5.6076,5.6614,7.9347,8.0283,5.0712,0.678,0.3008,0.1236,1.0,0.7769,72.9677,48.3465,10.6287,242.3048,67.33,6.101,4.7493,0.0,14.3375,4.675,32.1969,30.0811,0.0,87.6364,22.3084,19.8456,23.9746,0.0,76.7695,5.6667,25.2937,2.4691,19.0,28.0,26.0,39.9989,12.234,19.4062,60.8438,36.6875,2.6874,0.6806,1.1,3.7,2.8,33.6441,30.4925,0.0,87.6,23.7,11.9167,11.0,0.7067,1.0
2022-03-03,459.3,298.55,3.15,False,3.2976,3.3447,7.7771,7.8463,3.1061,0.4658,0.3331,0.0325,1.0,0.4096,68.7684,57.7232,3.9418,213.471,54.1497,2.857,3.2657,0.0,9.5375,1.4813,53.4195,33.3085,0.0,96.7468,59.0449,39.9835,33.5059,0.0,93.5542,35.9142,22.2324,1.981,19.0,25.0,22.0,30.9408,9.294,19.5,48.8438,28.7031,1.1134,0.6646,0.1,2.4,1.2,54.631,32.8433,0.0,96.7,60.4,11.8333,8.0,0.424,2.0
2022-03-04,520.5,338.32,3.56,False,4.0742,4.1124,7.7692,7.8165,3.7944,0.4976,0.2876,0.0349,1.0,0.4866,82.4413,64.95,6.1859,228.993,54.3387,3.7686,3.7717,0.0,11.4375,1.95,50.2416,28.7552,0.0,96.5131,51.3353,33.8362,28.1161,0.0,93.0386,27.1421,22.9858,2.3021,19.0,26.0,23.0,33.8216,10.109,19.4375,53.5938,29.875,1.9028,0.7012,0.7,3.0,2.0,50.9128,29.0248,0.0,96.4,55.2,11.75,9.0,0.5244,2.0
2022-03-05,859.8,558.87,5.89,False,7.1875,7.2225,7.8113,7.8409,6.5048,0.924,0.0942,0.5723,1.0,0.9596,69.7984,20.2649,25.1196,115.514,73.8263,7.3975,4.3506,0.0,14.1375,8.5875,7.5999,9.4168,0.0,42.7711,4.0418,1.663,3.1902,0.0,20.0169,0.1617,24.2254,2.6401,18.0,27.0,25.0,43.2064,11.4141,18.4375,60.3438,46.4688,3.1373,0.9078,1.3,4.0,3.5,8.562,11.3338,0.0,46.8,4.0,11.8333,4.0,0.9201,0.0
2022-03-06,605.8,393.77,4.15,False,5.8586,5.8768,7.8298,7.8398,5.3116,0.7108,0.2969,0.1351,1.0625,0.8407,74.2287,52.2642,14.2988,217.4169,64.9228,6.0842,4.6981,0.0,13.55,5.2688,28.9925,29.6141,0.0,86.4865,15.9252,17.2139,23.2879,0.0,74.5514,2.4685,24.5282,2.2112,19.0,27.0,25.0,39.9998,12.0476,19.5312,58.875,38.1719,3.6923,0.9452,2.0,5.1,4.0,29.2197,29.7646,0.0,86.2,15.5,11.8333,5.0,0.7482,1.0
2022-03-07,767.8,499.07,5.26,False,6.3897,6.3856,7.7963,7.7846,5.7634,0.7728,0.2319,0.2418,1.0,0.8443,75.9204,39.3535,14.8107,213.5915,72.6116,7.0527,4.5597,0.0,14.2875,7.875,22.7227,23.1854,0.0,75.8197,15.5722,10.6857,15.6126,0.0,58.1537,2.6341,25.4539,2.3588,19.0,28.0,26.0,42.4479,11.7103,19.5,60.7188,44.6875,3.1879,0.7422,1.8,4.3,3.4,23.4957,23.4615,0.0,76.7,16.6,11.75,5.0,0.8196,3.0
2022-03-08,714.8,464.62,4.9,False,6.5804,6.5842,7.9188,7.8897,5.986,0.841,0.096,0.5772,1.1,0.8302,57.0385,28.0392,15.4586,126.128,55.4324,7.099,3.9138,0.0,11.975,7.2375,15.9663,9.446,0.0,42.2809,16.9825,3.5258,3.3508,0.0,17.3775,2.9372,25.1831,2.4599,19.0,28.0,26.0,42.561,10.1521,19.5625,54.9375,43.0938,3.4486,1.0309,1.7,4.9,3.45,16.6563,9.8515,0.0,49.0,17.4,11.8333,1.0,0.831,3.0
2022-03-09,794.8,516.62,5.44,False,7.152,7.1308,8.017,7.9655,6.4183,0.9091,0.1268,0.4944,1.0625,0.9756,78.242,31.2292,20.232,161.3953,74.3829,8.007,4.3539,0.0,14.475,8.5375,9.158,12.6142,0.0,50.5556,2.439,2.3716,4.6682,0.0,24.9239,0.0588,26.0559,2.8229,18.0,29.0,27.0,44.8112,11.3025,18.5312,61.1875,46.3438,2.7,0.781,1.2,4.1,2.8,9.5427,12.2623,0.0,49.3,3.6,11.9167,13.0,0.8921,1.0
2022-03-10,737.1,479.12,5.05,False,6.39,6.3616,7.9917,7.9196,5.7435,0.7801,0.2463,0.1486,1.0625,0.8665,69.9498,30.7016,15.5173,138.9158,71.3226,7.3558,4.5508,0.0,14.6375,7.35,22.1037,24.5228,0.0,85.1406,13.3517,10.8061,17.568,0.0,72.5398,1.7357,26.4406,2.7671,19.0,29.0,27.0,43.1976,11.7189,19.5312,61.5938,43.375,1.8175,0.2922,1.2,2.4,1.8,22.6916,24.0462,0.0,85.2,15.5,11.9167,5.0,0.7996,3.0
